store_ID,date,predicted_sales
404,2014-03-19,5368
683,2013-01-29,7446
920,2014-03-19,5828
758,2014-06-26,4348
563,2015-02-16,4601
930,2014-11-22,8321
49,2015-01-13,7854
787,2015-07-23,8291
782,2013-09-19,4164
933,2013-12-09,7812
218,2015-04-07,5217
554,2013-10-09,4512
362,2013-08-12,12557
655,2014-04-09,5712
785,2014-12-31,4591
690,2014-03-19,6288
431,2014-06-02,12973
127,2013-09-24,5803
248,2013-08-03,8243
224,2013-03-26,7211
208,2013-06-19,2894
401,2015-03-30,13051
221,2015-03-05,6154
799,2013-08-27,10181
260,2014-10-25,5929
1041,2015-03-10,5110
350,2013-06-18,7040
620,2013-06-04,8341
521,2013-06-17,5819
649,2014-11-27,4213
1059,2015-06-02,10786
486,2014-06-28,3296
252,2013-10-17,7483
656,2013-05-15,3192
642,2014-09-12,3092
655,2015-05-08,8330
992,2013-06-26,4705
143,2015-06-02,7960
421,2014-07-18,9603
246,2014-10-02,8701
960,2014-04-28,8885
313,2014-01-17,6068
291,2013-06-29,5599
924,2014-05-31,3561
337,2013-08-13,5292
1024,2015-03-12,4993
56,2014-01-22,5816
507,2014-04-09,5929
970,2013-03-15,2949
846,2015-06-23,7386
549,2014-08-27,4119
1095,2013-03-28,7206
859,2013-04-12,7632
914,2014-07-29,11064
888,2015-06-23,6350
442,2014-11-04,5141
34,2013-03-09,7117
199,2014-07-10,6227
854,2015-06-04,6672
611,2014-01-21,5699
808,2015-04-09,5848
1105,2015-01-22,3270
866,2015-04-24,5076
222,2013-09-28,3448
476,2013-09-24,6313
800,2014-05-26,4629
330,2014-03-24,3210
507,2015-01-07,8548
1026,2014-01-28,7522
990,2013-10-04,5760
8,2015-01-10,3064
611,2013-07-31,6590
257,2013-08-13,6497
840,2015-04-16,9287
848,2015-07-31,9366
124,2014-07-12,2888
1028,2013-12-31,3096
95,2013-09-24,8659
208,2013-10-28,2271
249,2014-07-08,4309
887,2013-03-20,7043
73,2014-04-28,6200
13,2015-04-02,6187
1049,2013-09-03,3505
144,2015-02-05,8501
847,2013-08-14,7675
796,2013-05-08,6530
396,2015-06-11,9248
675,2014-09-26,2962
1099,2014-12-01,13022
791,2015-05-11,6685
1014,2015-03-24,10704
487,2014-11-04,8307
427,2013-02-13,6115
254,2014-11-14,3261
43,2014-01-31,7227
1074,2015-06-09,4294
549,2013-06-29,3738
1095,2013-01-08,5663
295,2013-10-28,4411
319,2013-10-14,6666
1002,2014-04-10,5090
448,2014-12-06,6630
527,2013-09-03,9269
255,2013-04-12,6529
581,2014-07-04,5950
185,2013-01-05,5792
244,2014-11-22,4576
1082,2013-01-05,6055
216,2015-03-20,7590
350,2015-03-05,6850
748,2014-03-31,9121
718,2014-12-08,8003
739,2014-02-21,9295
673,2014-02-18,7709
83,2013-06-10,3349
976,2013-09-18,5173
637,2013-04-06,6394
122,2014-01-07,7641
898,2014-11-24,11143
1080,2014-06-26,7826
291,2015-03-30,14578
24,2013-01-03,7316
637,2014-05-30,10011
1002,2015-06-02,7513
666,2014-03-10,5178
334,2013-08-31,4915
300,2014-08-30,8028
207,2014-09-22,8475
683,2015-05-27,7820
1094,2013-05-14,4503
700,2015-07-09,4079
